HTTrack3.49-2+htsswf+htsjava launched on Fri, 12 Apr 2019 18:41:54 at https://ubmc-stoats.webs.com/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" https://ubmc-stoats.webs.com/ -O1 "C:\Users\Tom\Documents\uni\first year\ubmc\ftr-backup\HTTrack\webs copy" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

18:48:03	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link static.ak.connect.facebook.com/images/loaders/indicator_white_large.gif (from https://static.websimages.com/Apps/fwml.css)
18:48:03	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link static.ak.connect.facebook.com/images/loaders/indicator_blue_small.gif (from https://static.websimages.com/Apps/fwml.css)
18:48:03	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link static.ak.connect.facebook.com/images/confirmation_stripes.gif (from https://static.websimages.com/Apps/fwml.css)
18:48:03	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link static.ak.connect.facebook.com/images/share/facebook_share_icon.gif?2:26981 (from https://static.websimages.com/Apps/fwml.css)
18:48:03	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://blogs.rails.freewebs.com/images/search-btn.png (from https://ubmc-stoats.webs.com/apps/photos/)
18:48:03	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link static.ak.connect.facebook.com/images/connect_favicon.png (from https://static.websimages.com/Apps/fwml.css)
18:48:03	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link static.ak.connect.facebook.com/images/ui/UIActionButton_ltr.png (from https://static.websimages.com/Apps/fwml.css)
18:48:03	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link static.ak.connect.facebook.com/images/icon_addtobookmark.gif (from https://static.websimages.com/Apps/fwml.css)
18:48:03	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://static.ak.connect.facebook.com/images/connect_sprite.png (from https://static.websimages.com/Apps/fwml.css)
18:48:03	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link static.ak.fbcdn.net/rsrc.php/v1/yU/r/bSOHtKbCGYI.png (from https://static.websimages.com/Apps/fwml.css)
18:48:03	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link static.ak.fbcdn.net/rsrc.php/v1/yX/r/i_oIVTKMYsL.png (from https://static.websimages.com/Apps/fwml.css)
18:48:03	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link static.ak.connect.facebook.com/images/dialog/large_halo_top_left.png (from https://static.websimages.com/Apps/fwml.css)
18:48:03	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link static.ak.connect.facebook.com/images/dialog/large_halo_top_right.png (from https://static.websimages.com/Apps/fwml.css)
18:48:03	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link static.ak.connect.facebook.com/images/dialog/large_halo_bottom_left.png (from https://static.websimages.com/Apps/fwml.css)
18:48:03	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link static.ak.connect.facebook.com/images/dialog/large_halo_bottom_right.png (from https://static.websimages.com/Apps/fwml.css)
